# airline	from	to	codeshare	stops	equipment
# Date: 2012-10-14
3U	XIY	NKG		0	319
3U	XIY	TNA		0	319
3U	XIY	URC		0	319
3U	XIY	UYN		0	319
3U	XIY	XNN		0	319
3U	XIY	ZHY		0	320
3U	XMN	CSX		0	319
3U	XMN	CTU		0	320
3U	XMN	CZX		0	319
3U	XMN	JDZ		0	319
3U	XMN	KMG		0	320
3U	XMN	KOW		0	320 319
3U	XNN	CKG		0	320
3U	XNN	CTU		0	320
3U	XNN	KMG		0	320
3U	XNN	LXA		0	319
3U	XNN	MIG		0	320
3U	XNN	XIY		0	319
3U	XUZ	CTU		0	319
3U	XUZ	DLC		0	319
3U	XUZ	HRB		0	320 319
3U	XUZ	KMG		0	320
3U	XUZ	KWE		0	319
3U	YIH	CKG		0	320
3U	YIH	CTU		0	320 319
3U	YIH	HKG		0	320
3U	YIN	URC		0	319
3U	YNT	SJW		0	320
3U	YVR	SHE		0	330
3U	ZHY	PEK		0	320
3U	ZHY	XIY		0	320
3U	ZUH	CZX		0	320
3U	ZUH	SYX		0	320
3Z	ARC	WBQ		0	
3Z	EAA	FAI		0	
3Z	FAI	EAA		0	
3Z	FAI	FYU		0	
3Z	FYU	VEE		0	
3Z	VEE	ARC		0	
3Z	WBQ	FAI		0	
4D	CAI	TLV		0	735
4D	TLV	CAI		0	735
4E	MCG	NIB		0	PAG
4E	MCG	TCT		0	PAG
4E	NIB	MCG		0	PAG
4E	TCT	TLJ		0	PAG
4E	TLJ	MCG		0	PAG
4G	EGO	NUX		0	TU5
4G	EYK	VKO		0	YK2
4G	LED	VKO		0	YK2
4G	MCX	VKO		0	TU5
4G	NCU	VKO		0	73G
4G	NUX	EGO		0	TU5
4G	NUX	VKO		0	YK2 TU5 73G
4G	NYM	OVS		0	YK4
4G	NYM	VKO		0	TU5 73G
4G	OVS	NYM		0	YK4
4G	OVS	VKO		0	YK2
4G	UCT	VKO		0	YK2
4G	VKO	EYK		0	YK2
4G	VKO	LED		0	YK2
4G	VKO	MCX		0	TU5
4G	VKO	NCU		0	73G
4G	VKO	NUX		0	TU5 YK2 73G
4G	VKO	NYM		0	TU5 73G
4G	VKO	OVS		0	YK2
